text,label
ex41 6 termsheethtm term sheet,valid
level 8 systems inc,invalid
corporate headquarters,valid
8000 regency parkway,invalid
cary nc 27511,valid
october 6 2004,invalid
term sheet expression intention except expressly set forth construed,valid
binding agreement,invalid
note warrant offering,valid
issuer level 8 systems inc delaware corporation company,invalid
investors existing holders outstanding warrants purchase shares,valid
companys capital stock existing warrants exhibit,invalid
contains list existing warrants,valid
investment amount 1706575,invalid
securities offered 1706575 million principal amount senior secured notes,valid
notes issued integral amounts 1000 first,invalid
1000000 principal amount notes purchased,valid
company entitle purchasers thereof proportionate,invalid
number reload warrants described,valid
e c h holder existing warrants purchases notes,invalid
receive warrant acquire number shares,valid
companys common stock common stock set forth,invalid
exhibit additional warrants exercise price,valid
exercisable 0002 per share additional warrants,invalid
subject registration rights described,valid
7 year term additional warrants also subject,invalid
forced cashless exercise upon consummation,valid
restructuring described additional warrants,invalid
exercisable unless restructuring,valid
consummated,invalid
coupon 10 per annum principal amount payable arrears,valid
cash maturity date,invalid
maturity date consummation merger deﬁned later,valid
december 31 2004,invalid
maturity principal balance notes together,valid
accrued unpaid interest become due payable,invalid
subject mandatory exchange described,valid
events default standard events default debt instruments included,invalid
notes,valid
ranking h e notes would constitute senior secured obligations,invalid
company notes outstanding company would,valid
permitted incur indebtedness ranking senior pari,invalid
passu notes except senior indebtedness,valid
company outstanding initial closing date,invalid
sale notes,valid
october 6 2004,invalid
collateral notes would secured ﬁrstpriority security interest,valid
companys tangible intangible assets,invalid
collateral subordinate existing security interests,valid
closing date,invalid
administrative agent security interest collateral held,valid
administration note provisions would conducted,invalid
brown simpson partners one whollyowned,valid
subsidiaries administrative agent bsp lead investor,invalid
ﬁnancing transaction investors oﬀering,valid
appoint bsp serve administrative agent purpose,invalid
protective provisions h e notes would contain customary aﬃrmative negative,valid
covenants company,invalid
allocation closings notes would oﬀered investors purchase one,valid
closings investor would oﬀered right,invalid
purchase allocated share notes allocated share,valid
based proportion aggregate outstanding existing,invalid
warrants asexercised basis investor owns,valid
right oversubscription unsubscribed notes,invalid
initial closing sale notes would occur earlier,valid
10 days commencement oﬀering,invalid
closings would continue rolling basis,valid
notes purchased closing could reoﬀered,invalid
investors time time company maturity,valid
date oversubscription rights allocation rules described,invalid
herein subject change company,valid
restructure existing warrants n event investor purchases entire allocated,invalid
share exercise price existing warrants reduced,valid
10 exercise price greater,invalid
investors existing warrants exercise price 010,valid
per share less whether repricing,invalid
referred herein eligible warrants,valid
mandatory exchange u p n consummation merger simultaneously,invalid
therewith notes held investor would,valid
automatically exchanged consideration without,invalid
payment additional consideration shares issuable,valid
upon exercise investors existing warrants,invalid
extent principal accrued unpaid interest due,valid
owing notes,invalid
use proceeds h e company would use proceeds oﬀering,valid
finance operations proceeds would used repay,invalid
shortterm long term debt instruments,valid
reload warrants h e investors subscribe ﬁrst 1000000 principal,invalid
amount notes receive warrants purchase aggregate,valid
two times respective eligible warrant shares,invalid
exercise price 010 per share collectively reload,valid
warrants reload warrants subject,invalid
registration rights described antidilution,valid
protection described 7 year term,invalid
load warrants issued upon consummation,valid
restructuring,invalid
october 6 2004,valid
merger proposal,invalid
company level 8 systems inc delaware corporation company,valid
overview merger company merge corporation owned one,invalid
investors either event newco newco,valid
surviving corporation merger,invalid
outstanding share companys common stock shall,valid
converted 05 shares surviving corporation common,invalid
stock common stock upon closing merger,valid
companys existing outstanding convertible notes shares,invalid
convertible preferred stock collectively securities would,valid
converted upon closing merger shares newly,invalid
created series surviving companys preferred stock,valid
designated series a1 convertible preferred stock series,invalid
a1 preferred securities would converted,valid
number shares series a1 preferred would convert,invalid
number shares company common stock underlying,valid
securities exchanged based amended conversion,invalid
price set forth,valid
security current con price amended con price,invalid
convertiblenotes 028 002,valid
037 0026,invalid
032 0023,valid
020 0014,invalid
017 0012,valid
016 0011,invalid
010 00025,valid
008 0002,invalid
series convertible,valid
preferred 032 020,invalid
series c convertible,valid
preferred stock 038 025,invalid
series b3 convertible,valid
preferred stock 1250 400,invalid
series a3 convertible,valid
preferred stock 833 350,invalid
upon consummation merger notes shall exchanged,valid
consideration without payment additional,invalid
consideration shares issuable upon exercise existing,valid
warrants extent principal accrued unpaid,invalid
interest due owing notes,valid
special shareholders meeting h e company shall convene special shareholders meeting,invalid
approve merger earliest possible date event,valid
later december 31 2004,invalid
fractional shares company issue cash lieu fractional shares,valid
october 6 2004,invalid
terms series a1 preferred,valid
liquidation preference event liquidation winding company,invalid
holders series a1 preferred would entitled receive,valid
preference holders common stock amount,invalid
equal 500 per share plus accrued unpaid dividends,valid
payment liquidation preference holders common,invalid
stock would entitled receive pro rata remaining assets,valid
company available distribution stockholders,invalid
merger consolidation company party,valid
sale exclusive license substantially assets,invalid
intellectual property company would deemed,valid
liquidation event unless holders majority shares,invalid
series a1 preferred outstanding elect treat,valid
event liquidation event,invalid
dividends holders series a1 preferred would entitled receive,valid
equivalent dividend asconverted basis whenever,invalid
company declares dividend common stock,valid
dividends payable shares common stock,invalid
antidilution protection h e conversion price series a1 preferred would,valid
subject customary adjustment event stock splits,invalid
stock dividends like undertaken company,valid
optional conversion h e holders series a1 preferred would right,invalid
convert series a1 preferred option holder,valid
time shares common stock share series,invalid
1 preferred initially convertible one one thousand,valid
11000 basis,invalid
mandatory conversion series a1 preferred shall automatically converted,valid
common stock applicable conversion rate upon,invalid
occurrence one following,valid
closing additional 5000000 equity ﬁnancing,invalid
institutional strategic investors andor,valid
b company 4 consecutive quarters positive,invalid
cash flow reflected companys financial statements,valid
prepared accordance generally accepted accounting,invalid
principles gaap filed securities,valid
exchange commission sec,invalid
redemption series a1 preferred redeemable,valid
board directors holders majority outstanding shares series,invalid
a1 preferred shall entitled appoint two board observers,valid
shall entitled receive information received,invalid
board directors attend participate without vote,valid
meetings board directors committees,invalid
option holders majority outstanding shares,valid
series a1 preferred holders series a1 preferred,invalid
may temporarily permanently exchange board observer,valid
rights two seats board directors one,invalid
company milestone company aggregate consolidated revenues,valid
1500000 reﬂected ﬁnancial statements,invalid
six months ended december 31 2004 prepared,valid
accordance gaap ﬁled sec holders,invalid
series a1 preferred shall right obligation,valid
elect majority voting members board,invalid
october 6 2004,valid
voting rights share series a1 preferred shall represent number,invalid
votes equal number shares common stock,valid
issuable upon conversion share series a1 preferred,invalid
series a1 preferred common stock shall vote together,valid
class except regarding election board,invalid
directors set forth ii required law iii,valid
set forth protective provisions,invalid
protective provisions closing company additional 5000000,valid
equity financing institutional investors approval,invalid
holders least 23 outstanding shares series a1,valid
preferred voting together separately class required,invalid
merger sale substantially assets,valid
intellectual property recapitalization reorganization,invalid
b authorization issuance equity security,valid
right preference priority superior parity,invalid
series a1 preferred excluding debt convertible,valid
senior pari passu equity security,invalid
c redemption repurchase acquisition directly,valid
indirectly subsidiaries otherwise equity,invalid
securities repurchase equity securities,valid
company cost upon termination employment,invalid
service pursuant vesting agreements stockholder,valid
agreements repurchase series a1 preferred,invalid
payment dividends distributions equity,valid
securities company series a1,invalid
preferred,valid
amendment repeal provision companys,invalid
certificate incorporation bylaws would adversely,valid
affect rights preferences privileges series a1,invalid
